,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
2552,Mamadou Sylla\e5ec95f8,sn SEN,FWMF,Rayo Vallecano,es La Liga,28-052,1994,2.2,18.2,26.4,69.0,306.4,73.6,7.73,10.5,73.9,8.18,11.4,72.0,1.36,3.18,42.9,0.00,0.05,-0.05,0.45,1.82,0.45,0.00,2.73,Matches
2553,Ádám Szalai\53e07d0b,hu HUN,FW,Mainz 05,de Bundesliga,34-153,1987,2.9,17.2,27.2,63.3,207.6,44.1,9.66,13.1,73.7,3.79,7.59,50.0,0.34,2.07,16.7,0.00,0.17,-0.17,1.38,0.69,0.00,0.00,1.72,Matches
2554,Wojciech Szczęsny\01b8a2b2,pl POL,GK,Juventus,it Serie A,32-023,1990,33.0,25.1,30.8,81.5,720.4,382.5,3.58,3.61,99.2,11.9,12.0,99.2,9.48,15.0,63.2,0.00,0.00,-0.00,0.09,0.06,0.00,0.00,0.00,Matches
2555,Dominik Szoboszlai\934e1968,hu HUN,MFFW,RB Leipzig,de Bundesliga,21-198,2000,17.1,44.3,57.4,77.2,743.9,210.9,22.9,27.2,84.1,14.3,17.8,80.6,5.26,8.89,59.2,0.41,0.29,0.12,2.34,2.81,2.16,0.70,4.09,Matches
2556,Jakob Sørensen\953c30b0,dk DEN,MFDF,Norwich City,eng Premier League,24-069,1998,5.1,37.1,44.3,83.6,776.7,223.3,12.5,14.5,86.5,17.5,18.8,92.7,6.47,9.41,68.8,0.00,0.00,0.00,0.00,2.94,0.00,0.00,1.76,Matches
2557,Alexander Sørloth\e92cd3f7,no NOR,FW,Real Sociedad,es La Liga,26-157,1995,16.9,18.0,24.3,74.2,264.9,40.6,10.7,13.5,78.9,5.56,7.57,73.4,1.12,1.66,67.9,0.00,0.12,-0.12,1.07,0.95,0.77,0.12,1.60,Matches
2558,Tachi\8b625720,es ESP,DF,Alavés,es La Liga,24-243,1997,2.7,20.4,31.5,64.7,594.8,313.0,3.70,5.93,62.5,10.4,13.3,77.8,6.30,12.2,51.5,0.00,0.04,-0.04,0.37,3.70,0.37,0.37,1.85,Matches
2559,Jonathan Tah\bd142efb,de GER,DF,Leverkusen,de Bundesliga,26-089,1996,31.0,52.9,58.9,89.8,1143.1,329.2,13.1,14.2,92.3,30.6,32.7,93.6,8.77,11.2,78.2,0.06,0.03,0.03,0.26,2.68,0.13,0.03,3.06,Matches
2560,Waniss Taibi\95192fe4,fr FRA,MFDF,Angers,fr Ligue 1,20-065,2002,1.5,38.7,47.3,81.7,589.3,102.0,23.3,28.0,83.3,12.7,14.7,86.4,2.67,4.00,66.7,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.67,Matches
2561,Flavien Tait\a0f9b535,fr FRA,MF,Rennes,fr Ligue 1,29-098,1993,20.8,46.8,53.8,87.0,904.9,192.2,19.7,22.4,87.8,18.5,20.6,89.5,8.03,9.09,88.4,0.14,0.17,-0.02,1.35,5.43,1.49,0.19,5.38,Matches
2562,Adrien Tameze\8da74c05,cm CMR,MFDF,Hellas Verona,it Serie A,28-096,1994,27.2,36.6,45.9,79.8,654.9,203.8,17.4,20.1,86.1,14.2,17.1,83.4,4.30,6.62,65.0,0.07,0.06,0.01,0.92,3.16,0.70,0.15,4.38,Matches
2563,Japhet Tanganga\e9971f2d,eng ENG,DF,Tottenham,eng Premier League,23-041,1999,8.2,39.9,48.3,82.6,718.2,213.4,18.0,20.4,88.6,17.6,20.7,84.7,3.66,6.22,58.8,0.00,0.05,-0.05,0.24,1.10,0.61,0.12,2.20,Matches
2564,Renato Tapia\34269bdf,pe PER,MF,Celta Vigo,es La Liga,26-287,1995,15.4,44.3,55.0,80.5,942.8,207.8,14.7,16.9,87.0,18.7,21.6,86.7,9.68,14.1,68.7,0.00,0.01,-0.01,0.26,3.25,0.58,0.00,3.25,Matches
2565,Edmond Tapsoba\a73c8f95,bf BFA,DF,Leverkusen,de Bundesliga,23-098,1999,19.2,63.1,71.2,88.6,1408.0,425.5,14.2,15.4,91.9,35.1,37.0,94.7,12.7,16.8,75.5,0.00,0.00,0.00,0.05,3.65,0.05,0.00,2.86,Matches
2566,Florian Tardieu\ed39121c,fr FRA,MF,Troyes,fr Ligue 1,30-019,1992,27.2,56.8,69.0,82.2,1170.4,352.3,22.1,24.2,91.0,23.7,26.8,88.3,10.0,16.2,61.7,0.07,0.11,-0.04,1.73,5.92,0.85,0.11,5.85,Matches
2567,Matt Targett\e514ab62,eng ENG,DF,Newcastle Utd,eng Premier League,26-235,1995,14.0,35.6,48.2,73.8,639.8,312.9,16.0,18.2,87.8,15.4,19.3,79.6,3.36,8.71,38.5,0.00,0.09,-0.09,1.29,2.93,0.86,0.21,3.43,Matches
2568,Matt Targett\e514ab62,eng ENG,DF,Aston Villa,eng Premier League,26-235,1995,15.9,37.7,50.6,74.4,734.7,350.9,15.3,18.1,84.7,17.1,20.6,83.2,4.65,9.50,49.0,0.06,0.14,-0.08,1.38,4.21,1.45,0.50,5.91,Matches
2569,Oussama Targhalline\abd56820,ma MAR,FW,Marseille,fr Ligue 1,19-356,2002,0.1,70.0,70.0,100.0,890.0,120.0,50.0,50.0,100.0,20.0,20.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2570,James Tarkowski\15ea812b,eng ENG,DF,Burnley,eng Premier League,29-173,1992,32.5,23.3,32.6,71.5,591.2,234.3,5.72,7.54,75.9,10.6,13.7,77.3,6.77,10.8,62.7,0.06,0.02,0.04,0.22,2.52,0.34,0.00,2.71,Matches
2571,Ciprian Tătărușanu\b056e3da,ro ROU,GK,Milan,it Serie A,36-091,1986,6.0,27.0,34.3,78.6,832.5,523.0,4.00,4.00,100.0,12.5,12.5,100.0,10.5,17.8,58.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2572,Niklas Tauer\27270af4,de GER,DFMF,Mainz 05,de Bundesliga,21-083,2001,5.2,27.9,36.7,75.9,512.7,152.9,12.9,15.6,82.7,10.8,13.8,77.8,3.85,5.58,69.0,0.00,0.00,0.00,0.00,1.15,0.19,0.00,1.73,Matches
2573,Nuno Tavares\a65c844b,pt POR,DF,Arsenal,eng Premier League,22-105,2000,11.2,45.7,56.0,81.7,769.1,230.9,23.8,26.3,90.5,17.9,21.1,84.7,3.57,6.34,56.3,0.09,0.08,0.01,0.63,1.88,0.71,0.45,1.96,Matches
2574,Charlie Taylor\cc2d7ad5,eng ENG,DF,Burnley,eng Premier League,28-235,1993,27.3,32.6,45.6,71.4,614.7,263.0,15.4,17.5,87.9,11.9,15.2,78.6,4.69,10.7,43.7,0.11,0.12,-0.01,0.62,2.31,0.77,0.51,2.67,Matches
2575,Loum Tchaouna\a3c8b4d3,fr FRA,FWMF,Rennes,fr Ligue 1,18-245,2003,1.0,26.0,40.0,65.0,447.0,94.0,13.0,18.0,72.2,9.00,15.0,60.0,3.00,5.00,60.0,0.00,0.20,-0.20,2.00,1.00,1.00,1.00,0.00,Matches
2576,Warren Tchimbembé\93b8f9f4,cg CGO,MF,Metz,fr Ligue 1,24-020,1998,2.3,36.5,41.7,87.5,724.8,164.8,13.9,15.2,91.4,16.5,17.4,95.0,5.65,8.70,65.0,0.00,0.04,-0.04,0.87,3.91,0.87,0.43,2.61,Matches
2577,Aurélien Tchouaméni\4f255115,fr FRA,MF,Monaco,fr Ligue 1,22-104,2000,30.5,55.8,64.2,86.9,1120.6,286.3,20.6,22.9,90.1,25.7,28.6,89.8,8.98,11.2,79.9,0.03,0.08,-0.04,0.62,5.28,1.02,0.20,5.77,Matches
2578,Mathys Tel\829aa60c,fr FRA,FWMF,Rennes,fr Ligue 1,17-014,2005,0.5,32.0,48.0,66.7,642.0,182.0,16.0,20.0,80.0,8.00,14.0,57.1,8.00,10.0,80.0,0.00,0.20,-0.20,2.00,2.00,0.00,0.00,2.00,Matches
2579,Jordan Tell\4f093689,fr FRA,FW,Clermont Foot,fr Ligue 1,24-335,1997,3.2,21.9,26.6,82.4,326.6,50.6,13.1,13.8,95.5,6.56,8.44,77.8,1.56,1.88,83.3,0.31,0.31,0.00,0.94,0.94,0.31,0.00,0.94,Matches
2580,Nathan Tella\f1e94cd6,eng ENG,MFFW,Southampton,eng Premier League,22-310,1999,8.2,12.4,20.6,60.4,179.3,44.9,7.80,9.88,79.0,3.54,6.22,56.9,0.61,2.68,22.7,0.00,0.09,-0.09,0.73,0.73,0.37,0.24,1.10,Matches
2581,Alex Telles\e73c9bb2,br BRA,DF,Manchester Utd,eng Premier League,29-147,1992,17.4,47.9,63.4,75.5,771.2,314.0,25.4,28.7,88.6,18.0,22.0,81.9,3.51,10.2,34.3,0.23,0.10,0.13,1.49,2.59,0.86,0.34,3.10,Matches
2582,Cristian Tello\72a99e38,es ESP,FWMF,Betis,es La Liga,30-273,1991,9.0,31.0,40.2,77.1,496.6,122.7,16.6,19.9,83.2,10.4,13.0,80.3,2.78,4.33,64.1,0.22,0.22,0.00,1.78,1.22,1.11,0.44,2.44,Matches
2583,Nahuel Tenaglia\66654daa,ar ARG,DF,Alavés,es La Liga,26-079,1996,9.8,24.1,38.4,62.8,466.6,257.8,9.59,12.2,78.3,11.2,15.5,72.4,2.96,8.57,34.5,0.00,0.01,-0.01,0.20,2.45,0.31,0.00,2.55,Matches
2584,Marc-André ter Stegen\6f51e382,de GER,GK,Barcelona,es La Liga,30-011,1992,33.0,32.1,37.1,86.6,859.2,490.6,5.73,5.79,99.0,16.3,16.5,98.4,9.85,14.5,68.1,0.00,0.00,-0.00,0.03,0.24,0.00,0.00,0.06,Matches
2585,Filippo Terracciano\5cbb5ad6,it ITA,DF,Hellas Verona,it Serie A,19-092,2003,0.1,30.0,50.0,60.0,370.0,180.0,20.0,20.0,100.0,10.0,20.0,50.0,0.00,10.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2586,Pietro Terracciano\e1b0a70d,it ITA,GK,Fiorentina,it Serie A,32-064,1990,29.8,39.0,48.5,80.4,1183.4,611.1,5.27,5.30,99.4,16.8,17.0,98.8,16.8,25.9,64.7,0.00,0.00,0.00,0.03,0.64,0.03,0.00,0.03,Matches
2587,Martin Terrier\5148dcc5,fr FRA,FWMF,Rennes,fr Ligue 1,25-068,1997,28.1,24.9,31.5,79.1,409.7,87.7,13.2,15.3,86.5,7.97,10.3,77.2,2.78,3.95,70.3,0.04,0.11,-0.08,1.21,1.67,1.32,0.28,2.95,Matches
2588,Aleksa Terzić\3ef0a2d7,rs SRB,DF,Fiorentina,it Serie A,22-267,1999,2.9,66.2,79.3,83.5,1270.7,435.9,28.3,30.0,94.3,28.3,32.1,88.2,9.31,15.2,61.4,0.34,0.14,0.21,1.72,2.07,2.76,2.07,3.45,Matches
2589,Robert Tesche\037130ca,de GER,MF,Bochum,de Bundesliga,34-349,1987,3.4,36.8,42.9,85.6,741.2,162.4,15.3,17.4,88.1,15.0,15.9,94.4,6.47,8.82,73.3,0.00,0.00,0.00,0.00,4.12,0.29,0.00,4.12,Matches
2590,Tanner Tessmann\ac277993,us USA,MF,Venezia,it Serie A,20-229,2001,7.4,21.6,28.6,75.5,447.7,125.9,9.05,10.9,82.7,8.38,10.0,83.8,3.92,6.62,59.2,0.00,0.01,-0.01,0.41,2.43,0.14,0.00,2.16,Matches
2591,Tetê\7120a04d,br BRA,FW,Lyon,fr Ligue 1,22-085,2000,4.5,23.8,31.3,75.9,409.1,123.6,9.78,11.6,84.6,10.9,12.7,86.0,2.22,4.89,45.5,0.67,0.31,0.36,1.33,2.22,2.00,0.00,4.67,Matches
2592,Cedric Teuchert\f956479d,de GER,MFFW,Union Berlin,de Bundesliga,25-117,1997,1.2,16.7,25.0,66.7,304.2,63.3,5.00,5.83,85.7,10.0,11.7,85.7,0.83,3.33,25.0,0.00,0.08,-0.08,1.67,2.50,0.00,0.00,0.83,Matches
2593,Arthur Theate\df8d6029,be BEL,DF,Bologna,it Serie A,21-351,2000,26.4,46.0,54.8,83.8,926.6,324.5,16.7,18.5,90.4,22.1,24.6,89.7,6.89,10.6,65.0,0.04,0.01,0.03,0.23,4.13,0.30,0.08,3.30,Matches
2594,Jan Thielmann\fd53759d,de GER,MFFW,Köln,de Bundesliga,19-350,2002,13.2,18.6,30.9,60.3,354.2,103.6,7.42,11.2,66.2,7.35,10.9,67.4,3.26,5.76,56.6,0.23,0.17,0.06,1.67,0.98,1.52,0.91,2.42,Matches
2595,Sada Thioub\f4bc42b1,sn SEN,MF,Angers,fr Ligue 1,26-344,1995,0.0,2,4,50.0,15,0,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2596,Sada Thioub\f4bc42b1,sn SEN,DF,Saint-Étienne,fr Ligue 1,26-344,1995,9.9,38.6,49.8,77.5,633.3,248.2,20.9,23.8,87.7,13.3,16.5,81.0,3.54,7.17,49.3,0.10,0.11,-0.01,1.01,2.63,1.21,0.40,3.94,Matches
2597,Luke Thomas\fc027d02,eng ENG,DF,Leicester City,eng Premier League,20-335,2001,20.2,49.4,61.2,80.6,789.7,289.2,24.8,27.3,90.7,21.0,24.8,84.8,2.62,6.24,42.1,0.05,0.08,-0.03,0.54,3.27,0.69,0.10,3.61,Matches
2598,Romain Thomas\275e2c51,fr FRA,DF,Angers,fr Ligue 1,33-333,1988,26.8,51.9,59.3,87.7,1197.0,420.6,12.0,12.8,93.6,28.0,30.1,92.9,11.5,15.4,74.6,0.00,0.00,-0.00,0.07,2.72,0.00,0.00,2.87,Matches
2599,Adrien Thomasson\c76b7567,fr FRA,MF,Strasbourg,fr Ligue 1,28-152,1993,24.7,39.0,50.4,77.4,671.1,163.3,18.9,22.4,84.3,15.6,18.5,84.2,3.77,6.48,58.1,0.16,0.19,-0.02,1.34,3.52,1.34,0.36,4.09,Matches
2600,Erik Thommy\df8e7b62,de GER,DFFW,Stuttgart,de Bundesliga,27-264,1994,2.7,30.0,40.7,73.6,561.5,134.1,12.6,15.6,81.0,11.9,13.7,86.5,4.07,7.78,52.4,0.00,0.15,-0.15,2.59,2.22,0.74,0.37,2.59,Matches
2601,Dominic Thompson\235a62f8,eng ENG,DF,Brentford,eng Premier League,21-289,2000,1.6,13.1,25.6,51.2,211.3,57.5,6.25,8.75,71.4,5.00,6.25,80.0,1.25,8.13,15.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,Matches
2602,Morten Thorsby\d1b49282,no NOR,MF,Sampdoria,it Serie A,26-006,1996,31.0,22.6,31.0,73.0,331.0,100.6,12.8,16.2,79.4,7.32,10.0,73.0,1.26,2.35,53.4,0.03,0.03,0.00,0.39,2.00,0.39,0.00,2.61,Matches
2603,Thuler\db23d9fc,br BRA,DF,Montpellier,fr Ligue 1,23-062,1999,8.9,30.0,35.8,83.7,624.6,199.4,8.88,10.1,87.8,16.4,18.0,91.3,4.49,7.08,63.5,0.00,0.00,0.00,0.00,0.67,0.00,0.00,1.24,Matches
2604,Marcus Thuram\6f8cd6d0,fr FRA,FWMF,M'Gladbach,de Bundesliga,24-278,1997,10.6,16.0,21.7,73.9,253.7,66.9,7.64,9.81,77.9,6.79,8.58,79.1,1.04,1.32,78.6,0.00,0.14,-0.14,1.23,0.75,1.23,0.19,2.17,Matches
2605,Khéphren Thuram-Ulie\7d9397f8,fr FRA,MF,Nice,fr Ligue 1,21-046,2001,19.9,46.5,53.8,86.4,861.2,182.6,18.3,20.3,90.3,21.7,23.6,91.7,5.63,7.69,73.2,0.10,0.13,-0.03,0.95,4.42,0.80,0.00,4.07,Matches
2606,Alexis Tibidi\ca6f4846,fr FRA,FWMF,Stuttgart,de Bundesliga,18-189,2003,4.3,20.9,27.2,76.9,313.5,57.2,13.3,15.1,87.7,5.58,8.14,68.6,1.63,2.33,70.0,0.00,0.07,-0.07,0.93,0.47,0.70,0.00,0.93,Matches
2607,Cheikh Tidiane Sabaly\9ddf7fae,sn SEN,FWMF,Metz,fr Ligue 1,23-068,1999,1.7,19.4,21.2,91.7,273.5,60.0,12.4,12.9,95.5,7.06,7.06,100.0,0.00,1.18,0.0,0.00,0.06,-0.06,1.18,0.59,0.59,0.00,1.76,Matches
2608,Youri Tielemans\56f7a928,be BEL,MF,Leicester City,eng Premier League,25-004,1997,26.2,48.3,59.2,81.6,909.7,255.8,20.0,22.7,88.1,21.7,24.7,87.8,5.88,10.0,58.8,0.11,0.13,-0.02,1.30,5.38,0.92,0.15,5.57,Matches
2609,Kieran Tierney\fce2302c,sct SCO,DF,Arsenal,eng Premier League,24-340,1997,21.3,42.4,54.6,77.7,807.2,259.0,16.5,18.8,88.0,21.1,24.6,85.9,4.32,9.34,46.2,0.14,0.09,0.05,1.03,3.43,1.17,0.75,3.57,Matches
2610,Steffen Tigges\6b8887c2,de GER,FWMF,Dortmund,de Bundesliga,23-284,1998,1.2,20.0,35.8,55.8,320.0,88.3,10.8,21.7,50.0,5.83,9.17,63.6,1.67,2.50,66.7,0.00,0.17,-0.17,0.83,1.67,0.00,0.00,1.67,Matches
2611,Malik Tillman\a5420709,de GER,FWMF,Bayern Munich,de Bundesliga,19-348,2002,1.2,25.8,33.3,77.5,386.7,128.3,15.8,18.3,86.4,8.33,11.7,71.4,0.83,1.67,50.0,0.00,0.33,-0.33,2.50,0.00,1.67,0.00,5.00,Matches
2612,Timothy Tillman\a5bea1fb,de GER,MF,Greuther Fürth,de Bundesliga,23-127,1999,21.3,22.9,32.3,70.9,415.7,127.7,9.95,11.9,83.8,9.81,12.0,82.0,2.58,5.96,43.3,0.09,0.10,-0.01,1.13,1.88,0.85,0.09,2.77,Matches
2613,David Timor\174651c8,es ESP,MF,Getafe,es La Liga,32-206,1989,3.8,36.8,46.3,79.5,813.7,237.6,14.2,16.6,85.7,14.5,16.3,88.7,7.63,12.6,60.4,0.00,0.00,0.00,0.00,4.21,0.53,0.00,5.26,Matches
2614,Jean-Clair Todibo\88f130ed,fr FRA,DF,Nice,fr Ligue 1,22-132,1999,31.6,60.1,68.3,88.0,1300.2,400.0,15.5,17.0,91.6,35.0,36.8,95.1,9.34,13.8,67.8,0.00,0.02,-0.02,0.38,5.00,0.25,0.03,3.70,Matches
2615,Karl Toko Ekambi\5ceba7fc,cm CMR,FW,Lyon,fr Ligue 1,29-239,1992,24.3,28.9,36.5,79.3,466.3,96.0,15.3,17.7,86.7,10.7,13.2,81.3,2.10,3.50,60.0,0.21,0.16,0.05,1.36,0.99,1.69,0.62,2.55,Matches
2616,Corentin Tolisso\652d4c37,fr FRA,MF,Bayern Munich,de Bundesliga,27-281,1994,7.8,62.7,72.2,86.9,1197.3,361.5,27.4,30.3,90.7,25.8,28.6,90.1,8.59,11.0,77.9,0.13,0.23,-0.10,2.05,9.74,0.90,0.00,10.0,Matches
2617,Jeremy Toljan\a96e5dc0,de GER,DF,Sassuolo,it Serie A,27-276,1994,15.5,48.7,55.2,88.3,838.6,269.6,23.4,25.1,93.3,19.7,22.0,89.4,4.90,6.71,73.1,0.06,0.07,-0.01,0.84,2.13,0.71,0.26,2.45,Matches
2618,Rafael Tolói\c56dc39e,it ITA,DF,Atalanta,it Serie A,31-213,1990,16.0,49.1,58.8,83.5,1000.5,370.6,17.0,18.6,91.3,24.6,27.6,89.3,7.25,10.9,66.3,0.06,0.03,0.03,0.50,5.25,0.50,0.13,4.63,Matches
2619,Raúl de Tomás\02ef8778,es ESP,FW,Espanyol,es La Liga,27-206,1994,30.5,18.9,22.9,82.4,344.7,56.5,10.3,11.4,90.2,5.61,6.69,83.8,2.59,3.70,69.9,0.10,0.06,0.04,0.89,1.48,0.52,0.13,1.74,Matches
2620,Tiago Tomás\b492126a,pt POR,FW,Stuttgart,de Bundesliga,19-329,2002,11.3,12.1,18.8,64.3,167.3,32.8,7.88,11.0,71.8,3.01,4.34,69.4,0.62,1.77,35.0,0.00,0.08,-0.08,0.62,0.53,0.35,0.09,0.88,Matches
2621,Takehiro Tomiyasu\b3af9be1,jp JPN,DF,Bologna,it Serie A,23-187,1998,0.1,30.0,30.0,100.0,930.0,830.0,0.00,0.00,,10.0,10.0,100.0,20.0,20.0,100.0,0.00,0.00,0.00,10.0,0.00,10.0,10.0,0.00,Matches
2622,Takehiro Tomiyasu\b3af9be1,jp JPN,DF,Arsenal,eng Premier League,23-187,1998,17.2,48.7,60.2,80.9,863.4,302.8,22.5,25.4,88.6,20.3,25.1,81.2,5.06,7.79,64.9,0.06,0.03,0.02,0.70,4.13,0.99,0.76,3.08,Matches
2623,James Tomkins\e7ca0439,eng ENG,DF,Crystal Palace,eng Premier League,33-043,1989,6.1,45.2,51.5,87.9,1097.0,286.9,7.54,8.36,90.2,27.4,29.0,94.4,10.2,13.4,75.6,0.00,0.07,-0.07,0.33,0.82,0.00,0.00,1.48,Matches
2624,Fikayo Tomori\7edfbb8a,eng ENG,DF,Milan,it Serie A,24-143,1997,28.3,50.6,57.1,88.7,1098.7,337.2,11.9,13.0,91.8,29.0,31.0,93.7,8.98,12.2,73.8,0.00,0.00,-0.00,0.11,2.33,0.00,0.00,2.40,Matches
2625,Sandro Tonali\0db169ae,it ITA,MF,Milan,it Serie A,22-003,2000,27.7,42.7,52.2,81.9,883.1,235.0,15.6,17.2,90.5,17.8,19.9,89.5,8.45,13.4,62.9,0.07,0.13,-0.06,1.52,3.97,0.90,0.25,3.61,Matches
2626,Lorenzo Tonelli\8cc29864,it ITA,DF,Empoli,it Serie A,32-114,1990,9.7,47.9,56.7,84.5,1041.4,408.9,13.5,14.7,91.6,24.9,27.0,92.4,8.76,13.5,64.9,0.00,0.02,-0.02,0.52,3.92,0.62,0.00,4.64,Matches
2627,Ivan Toney\e09f279b,eng ENG,FW,Brentford,eng Premier League,26-056,1996,30.3,14.5,24.6,58.8,212.8,75.8,8.61,12.5,68.9,4.09,7.39,55.4,1.06,2.34,45.1,0.17,0.19,-0.03,1.29,1.85,0.92,0.07,2.54,Matches
2628,Ernesto Torregrossa\bf39bdec,it ITA,FW,Sampdoria,it Serie A,29-317,1992,1.3,23.8,35.4,67.4,457.7,100.8,13.1,16.2,81.0,6.92,10.8,64.3,3.85,5.38,71.4,0.00,0.08,-0.08,1.54,3.08,0.77,0.00,2.31,Matches
2629,Lucas Torreira\52611641,uy URU,MF,Fiorentina,it Serie A,26-089,1996,23.5,48.7,55.5,87.7,1048.3,230.7,14.3,16.0,89.1,24.3,26.5,91.7,9.53,11.7,81.2,0.04,0.07,-0.03,0.94,3.83,0.94,0.04,4.64,Matches
2630,Raúl Torrente\4d753a3f,es ESP,DF,Granada,es La Liga,21-071,2001,14.2,31.3,42.5,73.8,733.9,257.5,8.10,9.44,85.8,15.8,18.5,85.5,7.39,13.7,53.8,0.00,0.06,-0.06,0.28,1.83,0.07,0.00,1.83,Matches
2631,Ferrán Torres\9e1035f8,es ESP,FW,Manchester City,eng Premier League,22-071,2000,3.4,16.2,21.2,76.4,245.3,22.1,8.53,10.6,80.6,5.29,6.18,85.7,1.47,1.76,83.3,0.29,0.00,0.29,0.29,0.59,0.29,0.00,0.59,Matches
2632,Ferrán Torres\9e1035f8,es ESP,FW,Barcelona,es La Liga,22-071,2000,13.9,30.6,36.1,84.7,474.0,98.1,17.9,20.2,88.6,9.64,11.2,86.5,2.23,2.88,77.5,0.29,0.21,0.08,0.72,1.94,0.65,0.07,2.73,Matches
2633,Óliver Torres\58a9a4d9,es ESP,MFFW,Sevilla,es La Liga,27-182,1994,10.1,46.3,57.1,81.1,951.5,251.8,19.5,22.0,88.7,17.1,19.4,88.3,8.81,13.4,65.9,0.20,0.14,0.06,0.69,6.04,0.69,0.10,3.96,Matches
2634,Pau Torres\532e1e4f,es ESP,DF,Villarreal,es La Liga,25-115,1997,29.0,57.0,65.8,86.6,1329.1,448.6,13.9,15.3,91.0,30.6,32.6,93.7,12.2,16.8,72.5,0.00,0.03,-0.03,0.24,5.86,0.21,0.00,5.69,Matches
2635,Roberto Torres\d733aa38,es ESP,MFFW,Osasuna,es La Liga,33-065,1989,7.9,30.9,49.9,61.9,634.9,224.7,13.9,17.1,81.5,10.1,15.6,65.0,6.58,14.8,44.4,0.25,0.27,-0.01,2.91,2.53,1.77,0.63,3.29,Matches
2636,Lucas Torró\0e4fef6e,es ESP,MF,Osasuna,es La Liga,27-296,1994,28.3,32.5,41.6,78.1,574.4,153.1,14.6,17.7,82.6,13.7,16.7,82.0,3.29,5.30,62.0,0.00,0.01,-0.01,0.25,3.00,0.46,0.04,4.17,Matches
2637,Jordan Torunarigha\f86cabbd,de GER,DF,Hertha BSC,de Bundesliga,24-277,1997,5.4,35.9,43.7,82.2,822.8,270.0,7.41,8.15,90.9,21.3,24.1,88.5,6.30,9.26,68.0,0.19,0.00,0.19,0.37,1.30,0.00,0.00,2.22,Matches
2638,Cenk Tosun\9a104dee,tr TUR,FW,Everton,eng Premier League,30-338,1991,0.1,20.0,20.0,100.0,370.0,0.00,10.0,10.0,100.0,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2639,Abdoulaye Touré\ef7cd87a,fr FRA,MF,Genoa,it Serie A,28-069,1994,4.8,28.5,36.0,79.2,459.8,78.8,14.6,16.3,89.7,10.6,13.8,77.3,2.50,4.38,57.1,0.00,0.00,0.00,0.00,2.50,0.00,0.00,1.67,Matches
2640,Almamy Touré\c8c60119,ml MLI,DF,Eint Frankfurt,de Bundesliga,26-013,1996,5.0,28.6,39.6,72.2,471.2,237.6,13.6,16.6,81.9,12.6,16.4,76.8,2.00,4.00,50.0,0.00,0.00,0.00,0.00,1.60,0.00,0.00,3.20,Matches
2641,Lucas Tousart\71ec39ef,fr FRA,MF,Hertha BSC,de Bundesliga,25-012,1997,20.8,25.7,34.4,74.7,498.9,159.5,10.0,12.1,82.9,11.0,13.7,80.6,3.80,6.35,59.8,0.00,0.04,-0.04,0.58,3.27,0.58,0.10,3.75,Matches
2642,Yoann Touzghar\4e47507a,tn TUN,FW,Troyes,fr Ligue 1,35-164,1986,14.6,15.0,19.1,78.5,220.8,24.5,9.18,11.4,80.7,4.52,5.41,83.5,0.96,1.16,82.4,0.00,0.03,-0.03,0.68,0.41,0.27,0.00,0.68,Matches
2643,Andros Townsend\b28bbd58,eng ENG,MF,Everton,eng Premier League,30-299,1991,16.2,21.1,30.1,70.2,367.2,128.1,10.0,11.7,85.3,8.52,10.8,78.9,2.28,5.93,38.5,0.12,0.15,-0.02,1.85,1.11,1.73,0.80,2.84,Matches
2644,Adama Traoré\9a28eba4,es ESP,FWDF,Barcelona,es La Liga,26-106,1996,3.6,31.4,43.1,72.9,511.1,120.0,18.1,20.8,86.7,10.0,15.3,65.5,2.22,4.17,53.3,0.56,0.17,0.39,1.67,1.67,3.06,1.94,2.78,Matches
2645,Adama Traoré\9a28eba4,es ESP,FW,Wolves,eng Premier League,26-106,1996,11.9,20.6,27.6,74.5,354.9,66.7,10.5,13.4,78.6,7.14,9.50,75.2,2.61,3.45,75.6,0.00,0.14,-0.14,1.60,1.43,1.26,0.59,1.93,Matches
2646,Amadou Traore\4eb0686f,fr FRA,FW,Bordeaux,fr Ligue 1,20-065,2002,0.2,10.0,20.0,50.0,160.0,0.00,5.00,15.0,33.3,5.00,5.00,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
